LineID,Clip,Timestamp-Begin,Timestamp-End,Line,Label 1 (Speaker),Label 2 (Speaker's gender),Label 3 (Target),Label 4 (Emotion),,,
29,1,01:48,01:49,計500蚊好唔好呀？,何爸,Male,Fiona,Suggestive,,,
30,1,01:49,01:49,好！,Fiona,Female,何爸,Agreeable,,,
31,1,01:50,01:52,我哋500蚊 budget試下買到幾多野。,Fiona,Female,Audience,Determined,,,
32,1,01:53,01:53,500蚊 budget，可以四道菜吖,何爸,Male,Fiona,Confident,,,
33,1,01:54,01:55,好！咁我哋Go。,Fiona,Female,何爸,Energetic,,,
34,1,01:56,02:00,準備咗呢個500蚊。喂！500蚊四道菜得唔得呀？,Fiona,Female,何爸,Challenging,,,
35,1,02:00,02:05,得啦！可以食啲咩呢？如果食嗰啲好貴嘅就唔得喇。,何爸,Male,Fiona,Pragmatic,,,
36,1,02:06,02:17,幾呀蚊一斤蝦嚟嘅， 畀大家機會，一班朋友嚟，咁你除開佢呢，就好經濟㗎。,何爸,Male,Audience,Persuasive,,,
37,1,02:17,02:29,如果兩個人去計就唔好計喇，大家有機會，10個8個嚟。咁你10個8個，就算一道菜 60 蚊加工費，你 8 個都6、8 480啫，都係 500 蚊加工費啫。我哋兩個犠牲下喇。,何爸,Male,Audience,Humorous,,,
38,1,02:29,02:29,係。而家入去北河街街市。,Fiona,Female,Audience,Neutral,,,
39,1,02:36,02:44,次次都係食海鮮同水有關，今日又落雨喇。,何爸,Male,Fiona,Observational,,,
40,1,02:45,02:47,哦，上次鯉魚門啫。,Fiona,Female,何爸,Dismissive,,,
41,1,02:47,02:48,呀，鯉魚門仲係黑雨添。,何爸,Male,Fiona,Recalling,,,
42,1,02:49,02:49,其他日子都冇嘅,Fiona,Female,何爸,Defensive,,,
43,1,02:51,02:52,鯉魚門仲係黑雨添。,何爸,Male,Fiona,Insistent,,,
44,1,02:55,02:58,到喇喎。我哋睇過呢度。,何爸,Male,Fiona,Expectant,,,
45,1,03:02,03:03,係咪呢檔呀上次係？,Fiona,Female,何爸,Inquisitive,,,
46,1,03:05,03:07,呢檔。好貴呀。,何爸,Male,Fiona,Opinionated,,,
47,1,03:10,03:12,廿蚊咁大條魚嘅？呢個咩蝦呀？。,Fiona,Female,魚檔（男）,Surprised,,,
48,1,03:12,03:13,呢個？呢個九節蝦呀，靚女。,魚檔（男）,Male,Fiona,Friendly,,,
49,1,03:14,03:16,咁大隻嘅，九節蝦?,Fiona,Female,魚檔（男）,Inquisitive,,,
50,1,03:16,03:21,妳都未見過大隻嘅，靚女，呢啲唔算大。,魚檔（男）,Male,Fiona,Playful,,,
51,1,03:21,03:25,嗱，呢個鮑魚，一斤有 5 隻吓。,Fiona,Female,Audience,Informative,,,
52,1,03:27,03:27,$98,何爸,Male,Fiona,Informative,,,
53,1,03:27,03:30,今日嚟呢，冇咁多人，但係都係好旺嘅一佪街市嚟㗎。,Fiona,Female,Audience,Neutral,,,
54,1,03:30,03:31,呢條魚好食嘛？,何爸,Male,魚檔（男）,Inquisitive,,,
55,1,03:33,03:34,你哋根深蒂固㗎喇。去到街市就緊係一定係養魚。,魚檔（男）,Male,何爸,Direct,,,
56,1,03:34,03:37,呢個班都好食㗎。,魚檔（女）,Female,何爸,Recommending,,,
57,1,03:41,03:44,呢兩條邊條好呀？呢條吖？,何爸,Male,魚檔（男）,Deciding,,,
58,1,03:45,03:47,藍瓜子，佢適應水溫就變咗花紋。,魚檔（男）,Male,何爸,Informative,,,
59,1,03:49,03:53,哦。同我揀條靚嘅，拍片呀。,何爸,Male,魚檔（男）,Polite,,,
60,1,03:53,03:54,呢個要介紹吓呀,Fiona,Female,Audience,Enthusiastic,,,
61,1,03:58,03:59,呢條有無一斤呀？,何爸,Male,魚檔（男）,Inquisitive,,,
62,1,04:00,04:00,一斤到。,魚檔（男）,Male,何爸,Informative,,,
63,1,04:01,04:03,嗱，我都心水清，,何爸,Male,魚檔（男）,Satisfied,,,
64,1,04:03,04:05,點分海定養呀？,Fiona,Female,魚檔（男）,Curious,,,
65,1,04:06,04:07,你做咗二三十年就識得分喇。,魚檔（男）,Male,Fiona,Witty,,,
66,1,04:11,04:12,明碼實價喇。,何爸,Male,Fiona,Satisfied,,,
67,1,04:13,04:20,嗱，我哋啱啱有收穫啦。五百蚊紙開始用出嚟。,Fiona,Female,Audience,Satisfied,,,
68,1,04:21,04:22,咩嚟㗎？點解咁隻色嘅？,何爸,Male,魚檔（女）,Curious,,,
69,1,04:23,04:26,呢隻澳洲嘅。嗱，呢隻南非嘅。,魚檔（女）,Female,何爸,Informative,,,
70,1,04:27,04:28,爭咁啲，點解呢？,何爸,Male,魚檔（女）,Curious,,,
71,1,04:29,04:38,地方唔同咁樣。呢個爽口啲，呢隻就腍。,魚檔（女）,Female,何爸,Informative,,,
72,1,04:32,04:32,係同大連鮑魚有分別㗎喎真係。,Fiona,Female,何爸,Observational,,,
73,1,04:38,04:50,嗱，不如今日嚟到呢度幫襯，每樣兩隻。得唔得呀?,何爸,Male,魚檔（女）,Negotiating,,,
74,1,04:45,04:51,得，得。厚肉啲嘅南非，澳洲薄身少少嘅。咁你一攞出嚟就知㗎啦。,魚檔（女）,Female,何爸,Agreeable,,,
75,1,04:52,04:54,市道唔好吖嘛，香港個個禮拜五六都走哂啲人。,魚檔（男）,Male,何爸,Sighing,,,
76,1,04:54,04:55,我今日嚟支持呀。,何爸,Male,魚檔（男）,Supportive,,,
77,1,04:56,04:59,係囉。緊係啦，要留番喺香港洗下錢至得㗎。,魚檔（男）,Male,何爸,Encouraging,,,
78,1,05:01,05:03,南非鮑魚。我哋今次試哂兩款。,Fiona,Female,Audience,Neutral,,,
79,1,05:04,05:11,好重呀。我哋兩個人食四隻都夠喇嗬? 多就唔好食。點樣整好食呀？,何爸,Male,魚檔（女）,Inquisitive,,,
80,1,05:13,05:13,試個好嘅。,魚檔（男）,Male,何爸,Suggestive,,,
81,1,05:13,05:14,蒸吖，蒸果皮試。,魚檔（女）,Female,何爸,Suggestive,,,
82,1,05:14,05:15,好食就番嚟買喇吓！,何爸,Male,魚檔（女）,Friendly,,,
83,1,05:19,05:19,九節蝦。,何爸,Male,魚檔（女）,Identifying,,,
84,1,05:20,05:23,係呀，呢啲越南嚟。,魚檔（女）,Female,何爸,Informative,,,
85,1,05:23,05:24,喂！有啲紅色，有啲青色。,何爸,Male,魚檔（女）,Curious,,,
86,1,05:25,05:27,每樣有啲。有啲白身啲㗎。,魚檔（女）,Female,何爸,Informative,,,
87,1,05:27,05:27,邊樣好啲呀？,何爸,Male,魚檔（女）,Curious,,,
88,1,05:28,05:28,一樣之嘛。,魚檔（女）,Female,何爸,Honest,,,
89,1,05:28,05:30,有啲好黑㗎。,何爸,Male,魚檔（女）,Observational,,,
90,1,05:30,05:34,啱啱去咗殼呢個殼就白身啲嘅，軟身啲嘅。,魚檔（女）,Female,何爸,Informative,,,
91,1,05:34,05:36,八隻啦，唔好咁多喇吓。,何爸,Male,魚檔（女）,Decisive,,,
92,1,05:38,05:40,揀就揀啲，唔好嘅執番落去。,何爸,Male,魚檔（女）,Particular,,,
93,1,05:40,05:44,$389呀？$388 啦！好聽啲。,何爸,Male,魚檔（女）,Negotiating,,,
94,1,05:48,05:48,你又唔要$390!,魚檔（女）,Female,何爸,Playful,,,
95,1,05:51,06:02,嗱，即係咁樣，建立咗個關係呢，事頭婆都幾好。380。嗱，呢啲我唔食喇，食一條瓜子班。今年第一次食。,何爸,Male,Fiona,Satisfied,,,
96,1,06:02,06:15,如果要加工海鮮邊檔好呀？,Fiona,Female,魚檔（女）,Inquisitive,,,
97,1,06:06,06:09,加工⋯周圍都有吖 。上面三樓嗰度吖。,魚檔（女）,Female,Fiona,Suggestive,,,
98,1,06:09,06:09,咩名呀？,何爸,Male,魚檔（女）,Curious,,,
99,1,06:10,06:15,「大利」囉。我喺呢度?幾多年呀？四十幾年。,魚檔（女）,Female,何爸,Proud,,,
100,1,06:15,06:16,啊，四十幾年喇?,Fiona,Female,魚檔（女）,Surprised,,,
101,1,06:17,06:17,係呀。,魚檔（女）,Female,Fiona,Neutral,,,
102,1,06:18,06:20,我一眼睇到佢都老實嚟嘅 。,何爸,Male,Fiona,Confident,,,
103,1,06:21,06:25,四十幾年啦，就嚟退休啦！我哋輕鬆下。,魚檔（女）,Female,何爸,Sighing,,,
104,1,06:25,06:25,嗰個係你先生呀？,何爸,Male,魚檔（女）,Curious,,,
105,1,06:25,06:26,係呀。,魚檔（女）,Female,何爸,Neutral,,,
106,1,06:26,06:37,嘩，拍硬檔呀。即係以前我哋嗰代都係呀。即係兩老就係一手一腳湊大啲細佬嗬，好辛苦呀。,何爸,Male,魚檔（女）,Sympathetic,,,
107,1,06:37,06:37,係啊。經歷㗎喇。,魚檔（女）,Female,何爸,Resigned,,,
108,1,06:38,06:46,我成日都講好辛苦㗎劏魚，又要賣。繼續俾心機做，好生意。,何爸,Male,魚檔（女）,Encouraging,,,
109,1,06:46,06:58,退休好啲！而家我哋 hea住做㗎咋我哋。年紀大啦。比你叻都唔會叻得去邊。最主要請人做太勞氣喇。,魚檔（女）,Female,何爸,Weary,,,
110,1,06:58,07:03,嗱，退咗休睇片呀，睇我哋兩個嘅片呀得閒。,何爸,Male,魚檔（女）,Friendly,,,
111,1,07:04,07:04,好呀，好呀。,魚檔（女）,Female,何爸,Cheerful,,,
112,1,07:06,07:10,幫阿姐買啲蟶子食下先。,何爸,Male,魚檔2（女）,Decisive,,,
113,1,07:10,07:11,大隻，大隻。,魚檔2（女）,Female,何爸,Selling,,,
114,1,07:12,07:20,大隻，三個⋯兩個人食。六支得啦?,何爸,Male,魚檔2（女）,Inquisitive,,,
115,1,07:21,07:21,四隻夠啦！,魚檔2（女）,Female,何爸,Honest,,,
116,1,07:21,07:26,哦，四隻呀?好。你估幾多錢呀?俾你估下。四支，160蚊斤。,何爸,Male,Fiona,Playful,,,
117,1,07:27,07:27,$500！,Fiona,Female,何爸,Guessing,,,
118,1,07:28,07:28,100蚊啫。,魚檔2（女）,Female,何爸/Fiona,Informative,,,
119,1,07:29,07:43,哎呀~好囉好囉！我哋攞住500蚊買晒喇。剩番廿蚊唔好買喇。買葱喇。 家姐，點樣整呀?點樣整好呀?,何爸,Male,魚檔2（女）,Excited,,,
120,1,07:45,07:45,蒸囉。,魚檔2（女）,Female,何爸,Suggestive,,,
121,1,07:46,07:52,蒸呀? 蒜蓉粉絲蒸。都係喇，同我心中所諗 — 蒜蓉粉絲蒸。,何爸,Male,Fiona,Satisfied,,,
122,1,07:54,07:55,但蝦已經豉椒炒蟶子囉。,Fiona,Female,何爸,Correcting,,,
123,1,07:56,07:57,可以蒸豉油皇嘛！,何爸,Male,Fiona,Explaining,,,
124,1,07:58,07:59,我哋而家剩番幾多錢呀?,Fiona,Female,何爸,Curious,,,
125,1,08:00,08:00,廿蚊呀。,何爸,Male,Fiona,Informative,,,
126,1,08:01,10:00,(廣告) 多謝大家收睇到呢度。介紹德國Emma床褥、記憶枕頭及防水保護套。100日試瞓服務，優惠碼九折。,Fiona,Female,Audience,Commercial,,,
127,1,10:00,10:04,正式海鮮餐呀。我諗樣樣都啱你食。,何爸,Male,Fiona,Anticipating,,,
128,1,10:04,10:05,五百蚊得唔得呢？,Fiona,Female,何爸,Skeptical,,,
129,1,10:06,10:13,五百蚊 ? 五百蚊加工唔駛，唔駛五百，最多係六十至八十蚊一道啦。,何爸,Male,Fiona,Calculating,,,
130,1,10:14,10:14,即係比酒樓應該平嘅。,Fiona,Female,何爸,Analytical,,,
131,1,10:14,10:20,貴與平唔緊要嘅，我覺得。俾人知道啫。,何爸,Male,Fiona,Indifferent,,,
132,1,10:20,10:20,最緊要好食。,Fiona,Female,何爸,Agreeable,,,
133,1,10:23,10:26,我買條魚一百幾蚊，你整得唔好食嘅，就哂咗佢啦。,何爸,Male,Fiona,Logical,,,
134,1,10:26,10:38,因為我哋呢上次喺大成街黃大仙都拍過一條呢喺下面個街市買上去食。咁嗰陣時大成街算係平嘅，我覺得。同埋都幾抵食嘅。,Fiona,Female,Audience,Recalling,,,
135,1,10:38,10:39,我記得都係300蚊度啫。,何爸,Male,Fiona,Agreeable,,,
136,1,10:39,10:50,但係呢，佢最鍾意應該係鯉魚門。佢成日話呢拍多條片下次買十樣海鮮過去鯉魚門嗰度加工。,Fiona,Female,Audience,Playful,,,
137,1,10:50,10:51,喂，到喇。有機會呀。,何爸,Male,Fiona,Alert,,,
138,1,10:51,10:58,咁我哋而家就喺北河街嘅三樓。咁就學啱入到嚟喇。,Fiona,Female,Audience,Informative,,,
139,1,10:58,11:01,啊，呢度啦學。加工海鮮。,何爸,Male,Fiona,Identifying,,,
140,1,11:01,11:04,好，點樣整呀?豉椒炒蟶子呀?,店員（女）,Female,何爸,Inquisitive,,,
141,1,11:05,11:07,豉椒炒蟶子都好喎。一係蒜蓉粉絲蒸。,何爸,Male,店員（女）,Deciding,,,
142,1,11:10,11:10,蒜蓉粉絲蒸。,Fiona,Female,店員（女）,Agreeable,,,
143,1,11:11,11:18,嗱，呢個呢70蚊。加粉絲就15蚊，唔該。蝦點整？白灼 。,店員（女）,Female,何爸,Informative,,,
144,1,11:18,11:20,豉油王啦！,何爸,Male,店員（女）,Decisive,,,
145,1,11:20,11:20,70,店員（女）,Female,何爸,Informative,,,
146,1,11:21,11:22,70。如果白灼呢?,何爸,Male,店員（女）,Curious,,,
147,1,11:23,11:25,白灼就60。呢個清蒸啦，唔使問你㗎喇。,店員（女）,Female,何爸,Direct,,,
148,1,11:26,11:26,係呀。,何爸,Male,店員（女）,Agreeable,,,
149,1,11:27,11:27,呢個60。,店員（女）,Female,何爸,Informative,,,
150,1,11:29,11:30,60好， 抵食呀清蒸。,何爸,Male,Fiona,Satisfied,,,
151,1,11:30,11:32,呢個果皮蒸鮑魚，60。,店員（女）,Female,何爸,Informative,,,
152,1,11:32,11:33,60。,何爸,Male,店員（女）,Neutral,,,
153,1,11:33,11:34,O唔OK?,店員（女）,Female,何爸,Confirming,,,
154,1,11:34,11:43,OK ， 我OK 嘅 。即係話到時啲觀眾話嘩！又話貴呀！唔上嚟呀。,何爸,Male,Audience,Sarcastic,,,
155,1,11:43,11:48,我呢到好均真㗎做嘢。係咁多就係咁多。,店員（女）,Female,何爸,Confident,,,
156,1,11:48,11:49,喂，呢度係咪裝過修嚟呀?,Fiona,Female,店員（女）,Curious,,,
157,1,11:50,11:52,你睇吓係咪裝過修嚟。,店員（女）,Female,Fiona,Evading,,,
158,1,11:52,11:53,我覺得都唔係好新。,Fiona,Female,Audience,Observational,,,
159,1,11:54,11:56,厠所就裝修，就嚟豪裝㗎喇。,店員（女）,Female,Fiona,Humorous,,,
160,1,11:56,12:06,樓下海鮮檔嘅姐姐就話去大利食，咁我哋就跟佢嚟大利食喇。香港應該攪下呢啲遊客嘅地方。,Fiona,Female,Audience,Suggestive,,,
161,1,12:07,12:08,真係大排檔價錢。,何爸,Male,Fiona,Impressed,,,
162,1,12:08,12:09,你去邊度都揾到咁平,店員（女）,Female,何爸,Proud,,,
163,1,12:10,12:11,係喎，四十幾蚊。,Fiona,Female,Audience,Impressed,,,
164,1,12:11,12:12,深水埗下哇。,何爸,Male,店員（女）,Proud,,,
165,1,12:12,12:13,一流啊，呢度啲炒嘢真係。,店員（女）,Female,何爸,Boastful,,,
166,1,12:14,12:19,有時呢，咖喱牛腩飯我最鍾意食呀學。46。,何爸,Male,Fiona,Satisfied,,,
167,1,12:21,12:23,你哋咁多鋪嘅?對面都係你哋㗎喎。,Fiona,Female,店員（女）,Surprised,,,
168,1,12:24,12:26,嚇！係呀係呀，啲燒鹅又係好正㗎！,店員（女）,Female,Fiona,Proud,,,
169,1,12:26,12:31,唏?你又知我鍾意食燒鹅? 睇到我上面學寫住燒鹅。,何爸,Male,店員（女）,Playful,,,
170,1,12:33,12:35,好大隻嘅九節蝦!,Fiona,Female,Audience,Impressed,,,
171,1,12:36,12:39,好喇，試下味先。凍咗唔好食。,何爸,Male,Fiona,Urgent,,,
172,1,12:43,12:45,128蚊 一斤，我哋叫咗 8 隻。咁而家100蚊。,Fiona,Female,Audience,Informative,,,
173,1,12:47,13:04,我正話買嘅時候呢，阿姐親自揀俾我㗎。佢揀咗四隻。嘩！湛多啲豉油。呢啲精華所在。,何爸,Male,Fiona,Enjoying,,,
174,1,13:04,13:13,蟶子。其實佢雖然係大排檔呢，但佢個賣相係都唔差㗎喎。,Fiona,Female,Audience,Appreciative,,,
175,1,13:13,13:18,我發覺呢醬油幾好，個醬油調得唔錯。,何爸,Male,Fiona,Satisfied,,,
176,1,13:20,13:21,澳洲、呢個南非。,Fiona,Female,Audience,Identifying,,,
177,1,13:21,13:23,即係你食完之後你會選咩先?,何爸,Male,Fiona,Inquisitive,,,
178,1,13:23,13:24,咁不如我試吓先啦。,Fiona,Female,何爸,Neutral,,,
179,1,13:25,13:30,嗱，未試之前呢，我就揀澳洲喇。,何爸,Male,Fiona,Biased,,,
180,1,13:30,13:32,嚇?係呀?因為你鍾意澳洲呀?,Fiona,Female,何爸,Curious,,,
181,1,13:32,13:35,澳洲係爽嘅，南非就厚肉啲。,何爸,Male,Fiona,Expert,,,
182,1,13:36,13:44,澳洲呢都有啲果皮喺上面。同埋呢其實佢個背蒸完都係學綠色嘅。咁不如我哋試下呢個。,Fiona,Female,Audience,Observational,,,
183,1,13:44,13:45,好，一齊澳洲啦！,何爸,Male,Fiona,Cheerful,,,
184,1,13:46,13:49,不過南非我就食過，澳洲就真係少食喇。,Fiona,Female,何爸,Conversational,,,
185,1,13:49,13:57,嘩嚇。其實呢度一隻都好飽呀。係爽㗎。澳洲係爽㗎。肉都好厚嘅。,何爸,Male,Fiona,Enjoying,,,
186,1,13:59,14:00,同埋佢唔韌囉。,Fiona,Female,何爸,Satisfied,,,
187,1,14:01,14:21,睇幾厚。緊係好嘢啦！早期呢啲300蚊一斤呀。而家，唉！一句話，經濟唔好呀。呢啲呀，如何喺西餐廰呢，直情你喺中式餐廳呢俾把刀你，慢慢切慢慢切。,何爸,Male,Fiona/Audience,Nostalgic,,,
188,1,14:22,14:30,都好厚肉啊！冇呃到大家㗎，睇下！幾厚肉。呢個好食喎！但你問我澳洲同南非，我鍾意南非多啲。,Fiona,Female,Audience,Sincere,,,
189,1,14:32,14:39,開魚要點樣開呀? 我學一轉先。 好多人唔識開魚。,何爸,Male,店員（女）,Inquisitive,,,
190,1,14:39,14:43,你要開咗啲肉，食咗啲肉先。,店員（女）,Female,何爸,Educational,,,
191,1,14:45,14:47,嗱，呢個係教學嚟㗎。,何爸,Male,Audience,Helpful,,,
192,1,14:47,14:50,咁就食得，咁就慢慢慢慢切開。,店員（女）,Female,何爸,Educational,,,
193,1,14:50,14:52,係，學咁就得㗎喇。,何爸,Male,店員（女）,Satisfied,,,
194,1,14:53,14:54,早啲食，如果唔係呢啲魚凍咗唔好食。,店員（女）,Female,何爸,Thoughtful,,,
195,1,14:54,14:57,食魚湛啲豉油，食魚。,何爸,Male,Fiona,Practical,,,
196,1,14:57,15:02,可以倒啲豉油上嚟呢度。,Fiona,Female,何爸,Helpful,,,
197,1,15:02,15:05,係。藍瓜子斑呀呢個。,何爸,Male,Fiona,Identifying,,,
198,1,15:05,15:06,168 都幾大條。,Fiona,Female,Audience,Impressed,,,
199,1,15:07,15:09,一睇就知 OK啦。,何爸,Male,Fiona,Confident,,,
200,1,15:09,15:13,我見你去到個魚檔都冇乜點諗就買喇。,Fiona,Female,何爸,Observational,,,
201,1,15:13,15:21,唉！而家嚟到買嘢，你預啱嘅，佢明碼實價。,何爸,Male,Fiona,Satisfied,,,
202,1,15:21,15:26,我哋今日好早呀！我哋今日15分鐘唔洗買完上嚟。,Fiona,Female,Audience,Proud,,,
203,1,15:27,15:38,咁呀好有信心吖嘛。啫係睇啲人老實，又明碼實價，又唔係呃你。呢個魚呢，你話認真好滑呢又唔係。,何爸,Male,Fiona,Objective,,,
204,1,15:38,15:40,佢唔算好滑。,Fiona,Female,何爸,Agreeable,,,
205,1,15:40,15:47,唔算好滑，但係可以，有油脂。咁都食得晒喎。,何爸,Male,Fiona,Satisfied,,,
206,1,15:47,15:51,係呀。要唔要燒鹅呀?,Fiona,Female,何爸,Inquisitive,,,
207,1,15:51,16:02,唔愛。燒鹅就睇見唔係好吸引。因為我埋過去睇過。,何爸,Male,Fiona,Opinionated,,,
208,1,16:02,16:02,係。,Fiona,Female,何爸,Agreeable,,,
209,1,16:03,16:04,如果啱啱燒出嚟呢，滴緊油呢，我就會食。,何爸,Male,Fiona,Selective,,,
210,1,16:05,16:05,好似擺咗喺度好耐㗎。,Fiona,Female,何爸,Agreeable,,,
211,1,16:06,16:13,係呀。自己要食好啲。俾個女就求其得喇。,何爸,Male,Fiona,Teasing,,,
212,1,16:14,16:17,309。咁有一枝啤酒包咗。,Fiona,Female,Audience,Informative,,,
213,1,16:17,16:22,記住！振興本地經濟。留港消費就最好喇。,何爸,Male,Audience,Encouraging,,,
214,1,16:22,16:23,"Hi,你好。",何爸,Male,男食客,Friendly,,,
215,1,16:24,16:25,Hello! 好大份呀！,Fiona,Female,男食客,Surprised,,,
216,1,16:26,16:27,好大份。係咪成日過嚟食呀?,何爸,Male,男食客,Curious,,,
217,1,16:28,16:28,唔係。,男食客,Male,何爸,Brief,,,
218,1,16:29,16:31,真係食得晒㗎?嘩好大碟呀！,Fiona,Female,男食客,Surprised,,,
219,1,16:32,16:33,Bye Bye,何爸,Male,男食客,Friendly,,,
220,1,16:33,16:36,阿爸，有今日呢喺深水埗試到海鮮嘅感覺點呀?,Fiona,Female,何爸,Inquisitive,,,
221,1,16:36,17:00,幾好呀！下面買完 15 分鐘，上面坐低又歎啤酒食海鮮。咁呀，兩個人呢，就覺得貴啲。如果四個至六個呢，我相信都係咁嘅價錢㗎啫。叫多碟干炒牛河呀，或者炒飯呀。就已經大滿足喇。一人都係百零二百蚊。,何爸,Male,Audience,Satisfied,,,
222,1,17:01,17:07,我哋買海鮮 買咗480，跟住頭先埋單加工費連埋一枝啤酒就 309蚊。,Fiona,Female,Audience,Summary,,,
223,1,17:08,17:09,即係二百幾啫唔計啤酒。咁計數。,何爸,Male,Fiona,Analytical,,,
224,1,17:09,17:15,係係係，二百幾。都ok呀我覺得。唔好嫌棄坐得即係唔係好靚。,Fiona,Female,Audience,Pragmatic,,,
225,1,17:15,17:17,唔係喎，今日唔錯喎。我覺得啲地方唔知係咪...,何爸,Male,Fiona,Opinionated,,,
226,1,17:17,17:22,係，冷氣夠嘅，不過硬櫈囉。,Fiona,Female,何爸,Objective,,,
227,1,17:23,17:29,係冇咁多人食，靜咗啲，可能。即閑日靜咗啲。夜晚就唔知喇。,何爸,Male,Fiona,Observational,,,
228,1,17:30,17:31,夜晚應該會旺啲嘅。,Fiona,Female,何爸,Agreeable,,,
229,1,17:31,17:40,因為佢到話喇，夜晚可以係八個十個喺下面，趁住海鮮平呀嘛，通常五點六點啲海鮮呢平啲㗎。,何爸,Male,Audience,Informative,,,
230,1,17:40,17:44,啊係，咁就即刻買上去嘅。啊，咁就正好多喎！,Fiona,Female,何爸,Enthusiastic,,,
231,1,17:44,17:46,中午嗰啲又另外吖。,何爸,Male,Fiona,Neutral,,,
232,1,17:47,18:03,"咁如果呢，之後大家有咩海鮮推介嘅鋪頭呢，都歡迎留言話俾我哋聽，我哋會繼續去食多啲海鮮，飲多啲茶，去多啲地方玩。
下個禮拜呢應該嚟緊有個越南嘅片會出嘅，咁大家記得留意吓喇。最後提一提大家記得...",Fiona,Female,Audience,Inviting,,,
233,1,18:04,18:06,越南嗰條片正呀！,何爸,Male,Audience,Enthusiastic,,,
234,1,18:06,18:11,係，我哋玩得好開心呀。咁最後記得咩呀?,Fiona,Female,何爸,Cheerful,,,
235,1,18:11,18:25,訂閱、留言、讚好。讚好緊要啦！而家我諗吓條條片都讚好呀。好少人話彈嘅。如果有咩意見都可以反映嘅。,何爸,Male,Audience,Urgent,,,
236,1,18:25,18:30,可以喺IG PM我都冇問題。咁我哋下集再見啦！記得留言俾我哋。拜拜。,Fiona,Female,Audience,Friendly,,,
237,1,18:33,18:50,食完又買喎。呢啲呢，就係何媽冇嚟，買番去俾佢食。一條藍瓜子，咁就四隻南非鮑魚。一隻南非鮑魚都四十蚊呀！,何爸,Male,Fiona/Audience,Thoughtful,,,
